lon_pos_obj_SS,lat_pos_obj_SS,lan_V_SS,speed_SS,obj_speed_SS,long_acc_SS,obj_long_acc_SS,diff_speed_and_limit_SS,min_TTC_gt_0,min_THW,min_acc_obj,max_acc_obj,m_acc_obj,min_rel_acc_obj,max_rel_acc_obj,class_of_obj,len_of_obj,wid_of_obj,hei_of_obj,min_speed,min_long_acc,m_long_acc,sd_long_acc,min_long_dist_2_obj,obj_speed_ES,speed_at_brake_or_steer_onset,Long_pos_of_obj_at_brake_or_streer_onset,sc_start_idx,N_samples,speedLimit,temperature,baseline,driver_type,scenario,condition,road_type,driver_type_tag
35.8036670410002,0.780624937134437,0,18.2944444444444,19.1636290056147,0.193750000000001,-0.693007210817385,-13.0055555555556,18.2944444444444,1.7440085233465,-1.10651878729428,2.03924149099628,0.0195579729757346,0.0423038516658694,12.9999386516571,1,4,1.8664448261261,1.5,18.2944444444444,-0.443749999999998,-0.247420634920635,0.199002397649617,31.9056670410002,19.8490058754321,NaN,NaN,945,315,31.3,20.5162698412698,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
60.2235091209945,6.1643394818802,1,19,19.5987345850402,-0.100000000000001,-0.915243966713177,-12.3,18.2722222222222,2.96288294076616,-1.27954077188715,0.5843350577236,-0.300590200379925,0.183805538184679,10.2754317657889,1,4,1.8664448261261,1.5,18.2722222222222,-0.412500000000001,-0.211607142857143,0.12888398633179,56.2947758745571,18.6381932803817,NaN,NaN,1361,35,31.3,20.25,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
61.7821746380108,6.49709448700367,0,17.9666666666667,18.2650937671563,-0.224999999999998,-0.269539047459872,-13.3333333333333,17.5305555555556,3.22175369042732,-2.01915418304374,-0.019774068132854,-0.669165775390215,0.282192202354594,8.64983874033459,1,4,1.8664448261261,1.5,17.5305555555556,-0.3125,-0.18925,0.0893684438154772,57.8676053448619,16.6191332334267,NaN,NaN,1407,25,31.3,20.25,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
30.09061125222,-2.1991435241664,0,13.8347222222222,14.3883157991994,1.0125,1.91864838416095,-17.4652777777778,13.8347222222222,1.70466545971955,-1.32942264227188,1.91864838416095,0.133591707368373,0.374201681065979,13.0379466355351,1,4,1.53290438652039,1.5,13.8347222222222,-0.443750000000001,0.175147058823529,0.458603454428622,25.8732595231839,15.3319804734145,NaN,NaN,2275,85,31.3,20,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
79.988707937993,0.00868728818435119,3,31.0694444444444,29.0588038227448,0.0374999999999979,-0.563494508958513,-0.230555555555554,30.2638888888889,1.85930965877415,-1.33998498728271,1.82540965401117,-0.0139434592089981,0.0616451296650233,14.3568697018693,1,4,1.79999995231628,1.5,30.2638888888889,-0.537500000000001,-0.118615591397849,0.132847992363145,56.2773483931147,28.985479102997,NaN,NaN,5593,93,31.3,20,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
79.789479699889,-1.27034950536938,3,29.5305555555556,27.3045334470154,-0.0124999999999993,0.265820389885079,-1.76944444444444,29.5138888888889,2.39858924069011,-0.73896442603953,0.440857297670689,-0.106023857493755,0.419614778473998,5.35015531163468,1,4,2.5,1.5,29.5138888888889,-0.0749999999999993,0.0349431818181822,0.0595325007183041,70.9615964110278,27.0446989215406,NaN,NaN,6091,22,31.3,20.25,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
41.8224164668496,-1.2667126956327,3,31.8888888888889,29.527324156891,-0.449999999999999,-0.0260206023227738,0.588888888888889,29.6236111111111,1.087961651738,-1.22102030593133,1.67442290390692,0.0707803630500516,0.228129643158623,11.9750828733331,2,4.06228160858154,2.5,1.5,29.6236111111111,-0.550000000000001,-0.122794117647059,0.251187464402357,33.2548238930038,30.7331923889741,NaN,NaN,6839,170,31.3,20.5507352941176,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
47.120132414944,2.36651266063888,3,31.1083333333333,24.0203927333397,-0.0874999999999986,-0.124408494649977,-0.191666666666663,31.0444444444444,0.920657219540457,-2.50689305840211,4.02259560984461,0.0952820685551832,0.0299682940474287,8.21428023888858,1,4,1.79999995231628,1.5,31.0444444444444,-0.112500000000001,-0.0480113636363634,0.0342536474659068,28.5812919044004,24.4231448264066,NaN,NaN,9748,22,31.3,21.5170454545455,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
68.0036843564115,-0.952253360272407,3,29.0222222222222,24.0326427645904,0.324999999999999,-0.244526961191909,-2.27777777777778,29.0222222222222,1.52421201147694,-2.26627087561653,1.99934977391546,0.0558476996440516,0.304428573300492,8.03989058088108,1,4,2.5,1.5,29.0222222222222,-0.112500000000001,0.21875,0.0962414052694331,45.2945002743897,24.2525624094637,NaN,NaN,13642,35,31.3,21.25,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
44.5508087536838,1.29667443492854,2,28.7097222222222,24.9300898670943,-0.100000000000001,-0.538501794983191,-2.59027777777778,28.6388888888889,0.900690660700567,-22.1995761996525,14.960374197426,0.27725750962337,0.0951432997621379,20.1308178773572,1,4,2.5,1.5,28.6388888888889,-0.21875,-0.098588709677419,0.0749775952198136,25.864833473118,24.1537022138516,NaN,NaN,13716,31,31.3,21.5,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
79.7905930620773,0.0253482943294985,3,27.3194444444444,25.3865605285682,-0.4375,0.137844314150684,-3.98055555555555,26.5527777777778,1.44761803203404,-3.51519746439507,3.0878012384035,-0.574123203901932,0.20172674272989,7.84280228413509,1,4,2.5,1.5,26.5527777777778,-0.456250000000001,-0.173454301075269,0.236826232350062,39.5360569193298,20.0334303008652,NaN,NaN,14756,93,31.3,21.5,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
79.2904509251403,0.711141317389573,1,29.9361111111111,23.3837990542813,0.150000000000002,0.352168373398101,-1.36388888888889,29.2944444444444,1.11950155072102,-3.2816057524078,3.30269034788106,0.0885110749580988,0.318293791826496,10.3890775265694,1,4,2.5,1.5,29.2944444444444,-0.393750000000001,0.0422321428571428,0.269265463947851,33.5135228114457,23.9681597416482,NaN,NaN,18841,70,31.3,22,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
44.0187073465232,-0.459476837368243,2,31.6944444444444,30.7735361073307,-0.0249999999999986,0.34299742588459,0.394444444444446,31.2569444444444,1.23028781063679,-0.247957870645585,0.730714995746276,0.185307003101425,0.061051136029383,6.04534548047527,1,4,2.5,1.5,31.2569444444444,-0.5,-0.0508333333333335,0.201768093861653,38.7431318935396,31.8510783833508,NaN,NaN,21231,60,31.3,23.25,1,1,Approaching_a_lead_vehicle,Baseline,All,Professional
